primary,usersrated,bayesaverage,average,id,thumbnail
The Resistance,31663,7.2189,7.3374,41114,https://cf.geekdo-images.com/thumb/img/TiLJY5V47pk3vvidXcfMoeUcRd8=/fit-in/200x150/pic2576459.jpg
Pandemic Legacy: Season 1,30951,8.48853,8.643180000000001,161936,https://cf.geekdo-images.com/thumb/img/WI5NmPd9C3PpRvHKoP4a0Ettlao=/fit-in/200x150/pic2452831.png
Betrayal at House on the Hill,30254,6.89115,7.082560000000001,10547,https://cf.geekdo-images.com/thumb/img/-5KCQJ0PvzUWVSV96rQkzxa8aNY=/fit-in/200x150/pic828598.jpg
Battlestar Galactica: The Board Game,29738,7.591019999999999,7.7413300000000005,37111,https://cf.geekdo-images.com/thumb/img/NpZjJd2NgxSJV2WrlB_U1e89txY=/fit-in/200x150/pic354500.jpg
Coup,29003,6.91803,7.04068,131357,https://cf.geekdo-images.com/thumb/img/ZsRtgIExTwWphMDZPH1hG-CR8os=/fit-in/200x150/pic2016054.jpg
Star Realms,28236,7.4729600000000005,7.6094,147020,https://cf.geekdo-images.com/thumb/img/457OeNXcnwr4r_5KPj3xyltK0QI=/fit-in/200x150/pic1903816.jpg
Jaipur,27868,7.40185,7.517989999999999,54043,https://cf.geekdo-images.com/thumb/img/SB3-6oMt2bXQjSIfe8FKvM90O2s=/fit-in/200x150/pic4679319.jpg
Takenoko,27832,7.17385,7.30232,70919,https://cf.geekdo-images.com/thumb/img/6KTmKEfbsPgEFnMnHlYL5DIHHmU=/fit-in/200x150/pic1912529.jpg
Magic: The Gathering,27806,7.321060000000001,7.47549,463,https://cf.geekdo-images.com/thumb/img/JTUt9zxnc6WQrGQ_pkkaMP3gtx0=/fit-in/200x150/pic163749.jpg
Azul,27439,7.78182,7.93545,230802,https://cf.geekdo-images.com/thumb/img/_ed_JktpgFwTr2WjEQgYMzHBvOQ=/fit-in/200x150/pic3718275.jpg
Dominion: Intrigue,27011,7.60743,7.74242,40834,https://cf.geekdo-images.com/thumb/img/mXbotIurS_kqKiAnbT92D81Xqa0=/fit-in/200x150/pic460011.jpg
Robinson Crusoe: Adventures on the Cursed Island,26666,7.741739999999999,7.909439999999999,121921,https://cf.geekdo-images.com/thumb/img/kvMhOuVRtAcCK7nXPcOr8RwWvYg=/fit-in/200x150/pic3165731.jpg
Sushi Go!,26479,6.96737,7.08085,133473,https://cf.geekdo-images.com/thumb/img/0y6Je0vh3QP_BhYHNxn6w8TafHk=/fit-in/200x150/pic1900075.jpg
Risk,26134,5.45176,5.579359999999999,181,https://cf.geekdo-images.com/thumb/img/qQSiogAAczGGpaEANuM8Z9ZaGpI=/fit-in/200x150/pic3136619.jpg
Five Tribes,25571,7.637580000000001,7.77807,157354,https://cf.geekdo-images.com/thumb/img/j7n3RouVn6V-oVhyjU5NmhEOTzU=/fit-in/200x150/pic2055255.jpg
Galaxy Trucker,25504,7.3227899999999995,7.434139999999999,31481,https://cf.geekdo-images.com/thumb/img/90es3_t2C0hkBKwUFBRCGWU9TQ4=/fit-in/200x150/pic3926631.jpg
Blood Rage,25407,7.8486199999999995,8.03252,170216,https://cf.geekdo-images.com/thumb/img/JPo2K0kSzYwCSqgEFdJbCzXFaTA=/fit-in/200x150/pic2439223.jpg
Alhambra,25144,6.92673,7.028569999999999,6249,https://cf.geekdo-images.com/thumb/img/IHP0JMesp62lvYC-4TXLCipOuWc=/fit-in/200x150/pic1502118.jpg
Hive,24862,7.2008600000000005,7.32446,2655,https://cf.geekdo-images.com/thumb/img/QRIjEgV1_HH5x27_MAK_--oWSLU=/fit-in/200x150/pic791151.jpg
Caylus,24604,7.66045,7.81204,18602,https://cf.geekdo-images.com/thumb/img/_oLgT5QRIiBJsUqDxJvjB5p4O6U=/fit-in/200x150/pic1638795.jpg
Gloomhaven,24618,8.61052,8.903210000000001,174430,https://cf.geekdo-images.com/thumb/img/e7GyV4PaNtwmalU-EQAGecwoBSI=/fit-in/200x150/pic2437871.jpg
Tzolk'in: The Mayan Calendar,24368,7.777880000000001,7.927560000000001,126163,https://cf.geekdo-images.com/thumb/img/RFxQzKDZgLqZ6oCtclSQHMbDlfk=/fit-in/200x150/pic1413480.jpg
Android: Netrunner,24252,7.707260000000001,7.89712,124742,https://cf.geekdo-images.com/thumb/img/fJp94uxjjBE5bGT0IxWZ5ePpe8A=/fit-in/200x150/pic3738560.jpg
Chess,24205,6.92565,7.099239999999999,171,https://cf.geekdo-images.com/thumb/img/v4iQ22pft-lihR4m0D9aid05qLE=/fit-in/200x150/pic260745.jpg
Eclipse,23944,7.7759100000000005,7.9452300000000005,72125,https://cf.geekdo-images.com/thumb/img/RSnDaIZnOELRL7lOAdYxQd7Oifk=/fit-in/200x150/pic1974056.jpg
A Game of Thrones: The Board Game (Second Edition),23923,7.46205,7.66135,103343,https://cf.geekdo-images.com/thumb/img/jKVCyVKboWKMpLlI9pB9ojeqM_w=/fit-in/200x150/pic1077906.jpg
Cosmic Encounter,23919,7.400510000000001,7.55728,39463,https://cf.geekdo-images.com/thumb/img/LSbrqwhmlw1S55of3_Mu9bM0lss=/fit-in/200x150/pic4243113.jpg
Sheriff of Nottingham,23630,7.083710000000001,7.21179,157969,https://cf.geekdo-images.com/thumb/img/18ToCY0hvajoDtgqXaB6T7inL8Y=/fit-in/200x150/pic2075830.jpg
Caverna: The Cave Farmers,23556,7.90552,8.072000000000001,102794,https://cf.geekdo-images.com/thumb/img/00FpWk6IN889ypSvLAo6ILUGZXw=/fit-in/200x150/pic1790789.jpg
Eldritch Horror,23517,7.631189999999999,7.861160000000001,146021,https://cf.geekdo-images.com/thumb/img/V_13CBO7zMMfQsUhF6jUAy_nAeg=/fit-in/200x150/pic1872452.jpg
Monopoly,23466,4.32242,4.37769,1406,https://cf.geekdo-images.com/thumb/img/08UWIW8s31pSdo-5fxPhWg5CaCg=/fit-in/200x150/pic4235383.jpg
Shadows over Camelot,23459,7.005730000000001,7.133310000000001,15062,https://cf.geekdo-images.com/thumb/img/j69YtQ286qbIC7myOV6n6v-FPy4=/fit-in/200x150/pic70547.jpg
Mage Knight Board Game,23418,7.89513,8.10482,96848,https://cf.geekdo-images.com/thumb/img/H1uPmDmOdUnsnylMEwBILm_n_S0=/fit-in/200x150/pic1083380.jpg
BANG!,23259,6.388380000000001,6.52375,3955,https://cf.geekdo-images.com/thumb/img/lzPoB0cL20ysgtE5Lc5C6oslpoM=/fit-in/200x150/pic1170986.jpg
Mysterium,23116,7.255730000000001,7.4025,181304,https://cf.geekdo-images.com/thumb/img/J6CuMx6ErFJcgrQtqziiwTgviZI=/fit-in/200x150/pic2601683.jpg
Tigris & Euphrates,23074,7.557860000000001,7.70626,42,https://cf.geekdo-images.com/thumb/img/DNfURmGP1yPr-9H4UEFgyoxd1qA=/fit-in/200x150/pic2338267.jpg
Le Havre,23026,7.75363,7.8914,35677,https://cf.geekdo-images.com/thumb/img/CstPYOK5l3W7LutBfbOQR4WAJX4=/fit-in/200x150/pic3330230.jpg
Scrabble,22920,6.17784,6.2829999999999995,320,https://cf.geekdo-images.com/thumb/img/ND1lWJtIymBjl3YzfSV3q3MB1Xk=/fit-in/200x150/pic404651.jpg
Memoir '44,22625,7.39335,7.55158,10630,https://cf.geekdo-images.com/thumb/img/iPrFRzEJAf3XFiN6Xn6ea9zHfoA=/fit-in/200x150/pic43663.jpg
The Resistance: Avalon,22442,7.45689,7.626530000000001,128882,https://cf.geekdo-images.com/thumb/img/rSivtcma94IGqMyHgzgfhjcyYDs=/fit-in/200x150/pic1398895.jpg
Roll for the Galaxy,21310,7.58555,7.7321800000000005,132531,https://cf.geekdo-images.com/thumb/img/k3jYCE3FCLUkcJH3OhGt-LXZPMA=/fit-in/200x150/pic1473629.jpg
RoboRally,21194,6.980639999999999,7.104360000000001,18,https://cf.geekdo-images.com/thumb/img/4zQbF0XfyuNPaiv8rPLyFV-Sbl8=/fit-in/200x150/pic1000553.jpg
El Grande,21170,7.62755,7.775589999999999,93,https://cf.geekdo-images.com/thumb/img/5RZaZ7-GQO7shwWnroOmrdQG7Qo=/fit-in/200x150/pic1149.jpg
Saboteur,21077,6.49558,6.60359,9220,https://cf.geekdo-images.com/thumb/img/G3hBcPutljcUb7_JSG9sNDJ4ZRY=/fit-in/200x150/pic3989824.jpg
Machi Koro,21050,6.56048,6.65976,143884,https://cf.geekdo-images.com/thumb/img/TrNIKJCXdaZN5wAiXT3RcOFyp4g=/fit-in/200x150/pic1992476.jpg
Forbidden Desert,20898,7.0693399999999995,7.2023,136063,https://cf.geekdo-images.com/thumb/img/gm5d7sO006n-WTSG2ynzyLz169A=/fit-in/200x150/pic1528722.jpg
Star Wars: X-Wing Miniatures Game,20709,7.549180000000001,7.7641100000000005,103885,https://cf.geekdo-images.com/thumb/img/tyXamGukP4rH_si0avYBsAqqxzE=/fit-in/200x150/pic1603292.jpg
San Juan,20701,7.1523,7.272530000000001,8217,https://cf.geekdo-images.com/thumb/img/hQY32VlhXKFW61iyvbTsIv_MuDI=/fit-in/200x150/pic174174.jpg
Smash Up,20480,6.657719999999999,6.80583,122522,https://cf.geekdo-images.com/thumb/img/7FU2Q8DP1D5OcJPzLHST0T3zRxA=/fit-in/200x150/pic1269874.jpg
Blokus,19879,6.790719999999999,6.9075,2453,https://cf.geekdo-images.com/thumb/img/b9feAHVD4OdrOrexeIay0LPfVbk=/fit-in/200x150/pic2197702.jpg
Tsuro,19859,6.56383,6.67514,16992,https://cf.geekdo-images.com/thumb/img/Dawqh509ZzihC7IxqfMM5w_s1Gs=/fit-in/200x150/pic875761.jpg
Istanbul,19794,7.4638,7.61303,148949,https://cf.geekdo-images.com/thumb/img/ruG3shsJXCfvy_pdu1AWflBjorM=/fit-in/200x150/pic1885326.jpg
Concordia,19724,7.92754,8.10121,124361,https://cf.geekdo-images.com/thumb/img/Ap4Vj-Gb0Z64bxDUf7ulr52rFMw=/fit-in/200x150/pic3453267.jpg
